id;date;day_of_week;d
1;équipe à l'entour de fidèle;hormis conseil d’administration;à l'entour de
2;intrépide bè;ding avare;toc
3;vouh arriver;exiger;suivant approximativement
4;hormis selon;céans debout;parlementaire
5;secours au-dessous;groin groin regarder innombrable;près
6;remercier smack hé;dedans dans;blablabla
7;zzzz au-dedans de;agréable jusque brave;triathlète avant que
8;bien que;rejoindre ah;à l'exception de pis
9;insipide simple;chut super;chut
10;en face de raide;comme trop actionnaire;croâ drelin diplomate
